Key,Source,Context,Changes,English
foodFishTacosFreshSchematic,items,Food,New,Fish Tacos [a0ff94](Fresh)[-] Recipe
foodFishSoupSchematic,items,Food,New,Fish Soup Recipe
foodPickledFishSchematic,items,Food,New,Pickled Fish Recipe
foodFishAndChipsSchematic,items,Food,New,Fish and Chips Recipe
fishTrapItem,items,Tool,kgNone,Fish Trap
fishTrapItemDesc,items,Tool,kgNone,"Right-click to place near water.  You need to be standing in natural water and place the trap on the shore (not over the water).  Will occasionally trap fish and other debris."
itemFishingCacheT1,items,Tool,kgNone,Fish Cache
itemFishingCacheT2,items,Tool,kgNone,Fish Cache
itemFishingCacheT3,items,Tool,kgNone,Fish Cache
itemFishingCacheAllDesc,items,Tool,kgNone,"Right-click to place anywhere.  Destroy the placed cache to discover what was caught!"
fishTrap,blocks,Block,KgNone,Fish Trap
fishTrapCaught,blocks,Block,KgNone,Fish Trap
fishingWater,buffs,Buff,New,[94f7e5]Fishing[-]
fishingWaterDesc,buffs,Buff,New,"You can fish as well as place fishing traps near the water's edge."
fishingWaterTooltip,buffs,Buff,New,"You can fish as well as place fishing traps near the water's edge."
fishingSpearCaught,buffs,Buff,New,[94f7e5]Check Spear Quickly![-]
fishingSpearCaughtDesc,buffs,Buff,New,"You may have caught something with your spear.  Right-click with your spear equipped to investigate."
fishingSpearCaughtTooltip,buffs,Buff,New,"You may have caught something with your spear."
fishingSpearCaughtClear,buffs,Buff,New," "
fishingSpearCaughtClearDesc,buffs,Buff,New," "
fishingSpearCaughtClearTooltip,buffs,Buff,New," "
fishingRodCaught,buffs,Buff,New,[94f7e5]Check Rod Quickly![-]
fishingRodCaughtDesc,buffs,Buff,New,"You may have caught something with your fishing rod.  Right-click with your fishing rod equipped to investigate."
fishingRodCaughtTooltip,buffs,Buff,New,"You may have caught something with your fishing rod."
fishingRodCaughtClear,buffs,Buff,New," "
fishingRodCaughtClearDesc,buffs,Buff,New," "
fishingRodCaughtClearTooltip,buffs,Buff,New," "
